@relation data_small

@attribute Date numeric
@attribute Gross_domestic_product numeric
@attribute Personal_consumption_expenditures numeric
@attribute Goods1 numeric
@attribute Durable_goods numeric
@attribute Nondurable_goods numeric
@attribute Services1 numeric
@attribute Gross_private_domestic_investment numeric
@attribute Fixed_investment numeric
@attribute Nonresidential numeric
@attribute Structures numeric
@attribute Equipment numeric
@attribute Intellectual_property_products numeric
@attribute Residential numeric
@attribute Change_in_private_inventories numeric
@attribute Net_exports_of_goods_and_services numeric
@attribute Exports numeric
@attribute Goods2 numeric
@attribute Services2 numeric
@attribute Imports numeric
@attribute Goods3 numeric
@attribute Services3 numeric
@attribute Government_consumption_expenditures_and_gross_investment numeric
@attribute Federal numeric
@attribute National_defense numeric
@attribute Nondefense numeric
@attribute State_and_local numeric

@data
1977.3,2060.2,1258.5,592.9,189.2,403.7,665.6,389.7,370.2,253.7,73.6,144.6,35.5,116.5,19.5,-21.1,161.9,131.3,30.6,183,153.2,29.9,433.1,197.7,132.9,64.8,235.3
1977.5,2122.4,1289.7,603.9,194,409.9,685.8,414.1,383.3,263.3,76.4,150.6,36.2,120,30.9,-20.6,162.3,130.6,31.7,182.9,153.2,29.7,439.1,200,133.7,66.3,239.1
1977.8,2168.7,1327.9,624.3,200.7,423.6,703.6,422.3,398.2,275.9,78.5,160.4,37,122.2,24.1,-29.6,157.8,125.3,32.5,187.4,156.6,30.8,448.1,204.5,134.9,69.7,243.6
1978,2208.7,1357.8,629.2,198.2,431.1,728.5,434.8,409.3,282.4,80,164.6,37.8,126.9,25.5,-38.7,164.6,129.8,34.8,203.3,170.3,32.9,454.8,207.7,137.4,70.4,247.1
1978.3,2336.6,1415.3,661,216.2,444.8,754.3,470.6,446.3,309.3,90.3,179.7,39.4,137,24.3,-22.6,186.2,150.6,35.6,208.8,175.1,33.7,473.3,214.8,141.9,72.8,258.5
1978.5,2398.9,1446.2,672.4,216.7,455.6,773.9,492.4,467.4,325.1,98.6,185.5,41.1,142.3,25,-23.8,191.3,153.6,37.7,215.1,179.4,35.7,484,218.6,144.4,74.2,265.4
1978.8,2482.2,1485.4,691.7,222.3,469.4,793.7,515.8,487.3,341.4,105.5,192.8,43.2,145.8,28.5,-16.4,205.4,165.6,39.9,221.8,184.8,37.1,497.4,225.8,148.4,77.3,271.7
1979,2531.6,1521,707.9,223.3,484.6,813.1,525.8,502,356.7,107.9,203.4,45.4,145.3,23.9,-18.2,211.7,170.9,40.8,229.8,192.2,37.6,502.9,229.1,151.1,78.1,273.8
1979.3,2595.9,1561.5,722.2,222.1,500.1,839.4,539.3,511.9,364.3,112.8,204.2,47.2,147.6,27.4,-22.2,220.9,178.9,42,243.1,204.1,39,517.3,234.9,156,78.9,282.4
1979.5,2670.4,1616,753.3,230.9,522.3,862.7,545.6,533.5,383,121.8,212.1,49.1,150.5,12.1,-23,234.3,191.3,43,257.3,216.8,40.5,531.8,238.8,158.4,80.4,293
1979.8,2730.7,1659.5,768.4,229,539.4,891,547.9,539.3,391.3,128.3,212.5,50.6,148,8.6,-26.8,253.7,208,45.6,280.5,238.1,42.4,550.2,248.1,165.7,82.4,302.1
1980,2796.5,1706.5,792,232.1,559.9,914.5,554.6,544.7,404.5,132.6,219.6,52.3,140.2,9.9,-35.8,268.5,222,46.5,304.3,259.7,44.7,571.2,259.7,173.3,86.4,311.6
1980.3,2799.9,1708.9,777.8,211.9,565.9,931.1,519.3,511.5,394.7,132.3,209.1,53.3,116.9,7.8,-15.2,277.4,227.7,49.7,292.6,248.5,44.1,586.9,271,177.6,93.4,315.9
1980.5,2860,1767.7,801.9,225.4,576.5,965.8,495.1,528.9,405.7,135.8,215.2,54.7,123.2,-33.9,5.5,284.7,232.5,52.2,279.2,234.1,45.1,591.8,272,180.3,91.6,319.8
1980.8,2993.5,1835.4,827.5,236.2,591.3,1007.9,551.5,560.6,422.8,144.1,221.6,57.1,137.8,-9.1,-6.7,292.5,239.5,53,299.2,252,47.2,613.4,286.8,192.6,94.2,326.6
1981,3131.8,1890.7,860.1,246,614,1030.6,619.4,580.6,443,150,232,61.1,137.6,38.8,-14.3,305.5,247.2,58.2,319.7,270.2,49.5,636,296.5,198.9,97.6,339.4
1981.3,3167.3,1921.9,863.8,240.9,622.8,1058.1,609.8,598.1,462.9,161,238.3,63.5,135.3,11.7,-13.5,308.5,248.7,59.7,322,271.8,50.2,649,309.4,208.1,101.3,339.6
1981.5,3261.2,1961.2,881.1,251.9,629.1,1080.2,652.3,608.3,482.1,169.7,246.6,65.8,126.2,44,-7.6,302.3,241.7,60.6,309.9,260.5,49.4,655.2,312.5,212.1,100.4,342.7
1981.8,3283.5,1976.1,872.5,236.8,635.7,1103.6,643.4,618.6,503.8,188.5,246.5,68.7,114.8,24.8,-14.8,304.7,243.1,61.6,319.4,268.8,50.6,678.8,328.5,225.6,102.9,350.3
1982,3273.8,2014.4,886.3,246.4,639.9,1128.1,588.3,609.8,500.1,186.6,242.8,70.6,109.7,-21.5,-16.3,293.2,232.3,60.9,309.5,257.6,51.9,687.4,332.5,230.1,102.4,354.9
1982.3,3331.3,2041.1,887.9,249.2,638.7,1153.1,593.6,597.8,490.1,182.5,235.4,72.2,107.7,-4.2,-4.4,294.7,233.9,60.9,299.1,245.8,53.3,701,339.5,239.3,100.1,361.5
1982.5,3367.1,2089.2,901.8,252.1,649.7,1187.4,593,587.2,478.7,172.9,232.3,73.5,108.4,5.8,-29.6,279.6,218.5,61.1,309.3,257.2,52.1,714.5,347.6,245.8,101.8,366.9
1982.8,3407.8,2150.9,921.1,264.4,656.7,1229.8,549.2,589.1,471.5,168.3,228.9,74.4,117.5,-39.8,-29.6,265.3,205.5,59.8,294.9,241.5,53.4,737.2,362.9,255.9,106.9,374.4
1983,3480.3,2190.6,925.9,268.9,657,1264.7,565.5,600.6,462.1,158.6,227.1,76.4,138.5,-35.1,-24.5,270.7,209.7,61,295.3,242.5,52.7,748.8,370.1,259.3,110.8,378.7
1983.3,3583.8,2254.5,962.6,289.6,673,1291.9,613.8,621.4,466.4,149.5,237.6,79.4,155,-7.7,-45.4,272.5,209.1,63.4,318,262.8,55.2,761,378.8,267.1,111.7,382.2
1983.5,3692.3,2324.3,990.8,302.4,688.4,1333.5,652.3,656.5,485.4,152.6,249.8,82.9,171.1,-4.2,-65.2,278.2,214.3,63.9,343.4,285.9,57.5,780.9,391.7,271.7,120,389.2
1983.8,3796.1,2376.7,1015.8,319.3,696.5,1360.9,718.5,694.6,514.7,156.6,271.4,86.7,179.9,23.9,-71.4,286.6,223.1,63.5,358,299.6,58.4,772.3,380.1,279.2,100.9,392.2
1984,3912.8,2422.8,1037.9,331.4,706.5,1384.9,790.9,717.9,531.5,165.7,275.6,90.1,186.4,73,-95,293,224.3,68.6,388,322.5,65.5,794.2,391.1,286.2,104.9,403
1984.3,4015,2481.2,1063.6,341.3,722.4,1417.6,818.9,749.6,558.3,175.8,289,93.5,191.3,69.3,-104.3,302.2,230,72.2,406.5,337.9,68.6,819.2,406.9,292.6,114.3,412.2
1984.5,4087.4,2519.7,1066.6,342.1,724.6,1453.1,838.9,767.5,576.6,182.5,297.3,96.8,190.9,71.3,-103.8,305.7,234.4,71.3,409.6,339.9,69.7,832.7,409.5,294,115.4,423.2
1984.8,4147.6,2568.9,1086.6,353.8,732.8,1482.3,831.7,783.8,590.9,185.5,305.6,99.8,192.9,48,-107.8,308.6,236.4,72.2,416.4,345,71.3,854.7,423,305.8,117.2,431.7
1985,4237,2643.9,1110.4,368,742.4,1533.5,809.9,793.6,599.4,194.9,302.6,101.9,194.2,16.2,-91.3,306,232.1,73.9,397.3,325.4,71.9,874.5,432.2,310.9,121.3,442.3
1985.3,4302.3,2691.2,1126,373.3,752.8,1565.2,827,805.4,609.1,195.2,309.5,104.3,196.3,21.6,-114.4,304.1,228.7,75.4,418.6,344.4,74.1,898.5,443.8,320.5,123.4,454.7
1985.5,4394.6,2764.7,1156.9,396.5,760.5,1607.8,822.2,805.9,604.4,192.2,306.1,106.1,201.4,16.3,-116.9,297.3,222.2,75.1,414.2,340.5,73.6,924.6,458.7,333.8,124.9,465.9
1985.8,4453.1,2790.9,1157.1,383.8,773.3,1633.8,859.5,826.4,618.1,195.8,313.4,108.9,208.4,33.1,-133.4,305.4,226.9,78.5,438.9,362.8,76,936.1,462.4,338.7,123.7,473.7
1986,4516.3,2834.7,1170.9,391.6,779.3,1663.9,863.5,833.1,613.5,191.7,310.8,111.1,219.5,30.4,-126,313.4,224.5,88.9,439.4,357.7,81.7,944.2,459.7,335.1,124.6,484.4
1986.3,4555.2,2863,1174.7,407.3,767.5,1688.3,855.2,839.6,605,174.5,317.5,113,234.6,15.7,-128.9,315.1,227.9,87.3,444,365.1,78.9,965.8,474.5,347.8,126.7,491.3
1986.5,4619.6,2929.7,1216.7,445.7,771,1713,835.8,842.8,602,169,318.6,114.3,240.9,-7,-139,320.5,229.8,90.7,459.4,374.8,84.7,993,492.9,362,130.8,500.2
1986.8,4669.4,2966.1,1220.1,441.1,779,1746,842.1,854.8,610.6,170.9,323.9,115.8,244.3,-12.8,-133.6,335,243.6,91.4,468.6,382.5,86.2,994.8,486.4,351.9,134.5,508.4
1987,4736.2,2998.3,1215.9,418.5,797.4,1782.4,871.2,843.2,596.6,166.9,312.6,117,246.7,28,-141.2,336.5,243,93.5,477.7,389.5,88.1,1008,489.6,358.7,130.9,518.4
1987.3,4821.5,3068.8,1251.4,439.1,812.3,1817.4,874.6,858.1,608.4,169.6,320.2,118.6,249.7,16.5,-147,355.4,258.8,96.6,502.3,409.1,93.3,1025,499.2,369.3,129.9,525.9
1987.5,4900.5,3133.5,1281.2,460.5,820.7,1852.3,876.5,875.5,625.5,177.6,327.1,120.8,250,1,-145.5,371.9,272.1,99.8,517.3,422.8,94.5,1036,502.2,376.1,126.1,533.7
1987.8,5022.7,3167.6,1276.7,449.9,826.8,1890.9,946.5,883.4,630.5,182.7,323.8,124,252.8,63.1,-145.4,392.1,288.3,103.8,537.5,437.7,99.8,1054,509.8,375.7,134.1,544.2
1988,5090.6,3249,1308.8,470.4,838.4,1940.2,908.6,891.6,641.5,178.6,335.6,127.3,250.1,17,-124,418.7,311.2,107.5,542.7,441.5,101.2,1057,504,376.3,127.7,553
1988.3,5207.7,3309,1326.8,473.2,853.5,1982.2,934.5,914.9,659.4,184.2,344.8,130.4,255.5,19.6,-106.6,439.5,328.5,111,546.1,445.7,100.4,1070.8,505.4,378.5,127,565.4
1988.5,5299.5,3378.3,1341.2,470.4,870.8,2037.2,942,923.8,666.3,183.5,349.1,133.7,257.5,18.2,-99.3,453.6,338.7,114.9,552.8,451.1,101.7,1078.4,505.8,377.6,128.2,572.6
1988.8,5412.7,3451.3,1372.5,486.2,886.3,2078.8,962.8,943.6,681.9,184.9,357.7,139.3,261.7,19.1,-107.7,466.6,349.8,116.8,574.3,470.2,104.1,1106.4,520,386.1,133.9,586.4
1989,5527.4,3506.1,1389,486.4,902.5,2117.1,1005.4,957.2,696.3,189.5,363.4,143.5,260.9,48.1,-101,485.2,360.5,124.7,586.2,482,104.2,1116.9,517.5,379.2,138.3,599.3
1989.3,5628.4,3569.5,1421.1,493.3,927.7,2148.4,1001,964.7,708.9,189.6,371.6,147.7,255.8,36.3,-88.2,507.2,379.6,127.6,595.4,490.7,104.7,1146.1,531.8,389.5,142.4,614.3
1989.5,5711.6,3625.6,1441.9,505.6,936.3,2183.6,996.5,986.7,731.2,197.7,381,152.4,255.5,9.8,-75.1,509.4,379,130.3,584.4,477.4,107,1164.6,538.5,394.8,143.7,626.1
1989.8,5763.4,3670.1,1443.2,491.9,951.3,2226.9,995.9,979.4,727.5,198.1,372.6,156.9,251.9,16.6,-82.8,515.4,379.9,135.5,598.2,489,109.1,1180.2,537.7,391.1,146.5,642.5
1990,5890.8,3754.5,1489.6,515.4,974.2,2264.9,1010.8,996.9,740.9,204.1,376.4,160.3,256,14,-88.5,538.2,396.2,142,626.8,510.4,116.4,1214,552.6,399.8,152.8,661.4
1990.3,5974.7,3800.2,1479.3,498.4,980.9,2320.9,1014.8,981.1,734.2,204.6,365.7,163.9,246.9,33.7,-68.8,545.9,400.6,145.3,614.8,495.8,119,1228.6,559.5,402.5,157,669.1
1990.5,6029.5,3863.4,1496.7,493.6,1003.1,2366.7,1000.7,978.8,744.3,205.5,373.6,165.1,234.5,21.9,-75,555.1,406.3,148.8,630.1,506.3,123.8,1240.4,558,398.5,159.4,682.4
1990.8,6023.3,3884.4,1499.7,480.9,1018.8,2384.7,947.6,958.9,737.6,197.4,371.8,168.4,221.3,-11.3,-79.1,568.2,409.9,158.3,647.3,519.8,127.5,1270.4,570,410.1,159.8,700.5
1991,6054.9,3890.2,1485.8,471.7,1014.1,2404.4,924.6,940.1,729.8,194.9,361.3,173.6,210.3,-15.5,-47.1,573.2,420.7,152.5,620.3,497,123.4,1287.2,582.9,417.3,165.6,704.3
1991.3,6143.6,3943.7,1497,475.2,1021.8,2446.7,926.6,944.6,726.8,189.9,358.2,178.7,217.8,-18,-23.2,590.7,427.1,163.6,613.9,491,122.9,1296.6,585.5,417.5,168,711.1
1991.5,6218.4,3989.6,1508.7,484.3,1024.4,2480.9,947.5,946.6,720.1,177.5,362.6,180.1,226.5,0.8,-21.1,600.6,431.6,169,621.7,500.4,121.2,1302.4,580.9,411.9,169,721.5
1991.8,6279.3,4017.1,1498.2,477.5,1020.7,2518.9,978.8,947.6,717.6,172.2,361.4,184.1,230.1,31.1,-23.1,615.2,441.2,174.1,638.3,514.5,123.8,1306.5,573.7,401.1,172.6,732.9
1992,6380.8,4117.7,1533.8,496.2,1037.7,2583.8,956.8,956.5,714.2,169.9,360.1,184.2,242.4,0.2,-20.5,625.3,449.7,175.6,645.8,523.5,122.4,1326.9,578.6,400.2,178.4,748.3
